[TEST] Preformance Test: findAllPollard with 8-bits primes.
[Integer to Factor]	[Elapsed Time]	[Memory Usage]	[Int Memory Usage]	[Factors]
190287976024877	0.01000189781189	704	256	25727549, 7396273
200383439138809	0.012221097946167	704	256	30754897, 6515497
195886699755781	0.007537841796875	704	256	7112711, 27540371
181228041944953	0.005401134490967	704	256	7025509, 25795717
222322896252299	0.009259939193726	704	256	6637049, 33497251
232937223564271	0.005677700042725	704	256	8120759, 28684169
220104499167031	0.006258010864258	704	256	8230889, 26741279
194974465113371	0.009594917297363	704	256	6792083, 28706137
244855461187703	0.005059957504272	704	256	8220101, 29787403
224558544341317	0.014060020446777	704	256	7902701, 28415417
176138466788027	0.004694700241089	704	256	6727781, 26180767
263128789734341	0.008792161941528	704	256	32525323, 8089967
213417738428981	0.007857799530029	704	256	7545169, 28285349
229537896912347	0.004399061203003	704	256	28367707, 8091521
193332820177141	0.008287191390991	704	256	7085339, 27286319
245784470294809	0.007223606109619	704	256	7598543, 32346263
231471176376799	0.007929086685181	704	256	7151093, 32368643
225319475521039	0.01798677444458	704	256	27272381, 8261819
217895319680833	0.009367227554321	704	256	7989767, 27271799
224333402690933	0.004569053649902	704	256	7453063, 30099491
220976403657013	0.003551006317139	704	256	6931339, 31880767
206180061962969	0.006711959838867	704	256	7049501, 29247469
180091293817153	0.010740995407104	704	256	6415081, 28073113
222357093495419	0.012678146362305	704	256	33197491, 6698009
212842697858863	0.010218143463135	704	256	6529261, 32598283
165427057167347	0.005589008331299	704	256	6429691, 25728617
200338937331971	0.006164312362671	704	256	29032529, 6900499
196653883670989	0.010550022125244	704	256	6540181, 30068569
207218429354329	0.009495258331299	704	256	26578729, 7796401
239558598217579	0.002846956253052	704	256	7899751, 30324829
183002367173699	0.009155988693237	704	256	6930037, 26407127
232134941410991	0.008773803710938	704	256	8075563, 28745357
179110464301189	0.00204610824585	704	256	6434567, 27835667
233838834646999	0.004869222640991	704	256	7307731, 31998829
207492608461097	0.005561113357544	704	256	7115903, 29158999
259016887089733	0.004378318786621	704	256	7990349, 32416217
168147715043599	0.003662824630737	704	256	6540539, 25708541
194261418431167	0.003853797912598	704	256	6379091, 30452837
237661434007183	0.012511968612671	704	256	7189907, 33054869
239487764076833	0.010257959365845	704	256	8153347, 29372939
177999521316103	0.004961013793945	704	256	6569971, 27092893
200240971656137	0.013437986373901	704	256	31322503, 6392879
201022907250019	0.002411127090454	704	256	7626221, 26359439
194533927628321	0.006488084793091	704	256	7316453, 26588557
192217104060973	0.0101478099823	704	256	7488101, 25669673
184208523265849	0.008188009262085	704	256	7206443, 25561643
191250615888991	0.009238004684448	704	256	7461647, 25631153
226671069839077	0.007757186889648	704	256	6798817, 33339781
212067551268407	0.019483089447021	704	256	6966007, 30443201
212321258644483	0.005835056304932	704	256	7071509, 30024887
210149725338263	0.005677700042725	704	256	29713267, 7072589
171535515317473	0.005060195922852	704	256	6721427, 25520699
208974686048759	0.005777835845947	704	256	7705993, 27118463
254244506560799	0.008804082870483	704	256	8132329, 31263431
