56839	1.0639996617101133e-05	113, 503
57023	1.7400016076862812e-05	127, 449
57023	1.168000017059967e-05	127, 449
59309	1.8300022929906845e-05	127, 467
59309	1.1839998478535563e-05	127, 467
60833	1.850002445280552e-05	127, 479
60833	1.1809999705292284e-05	127, 479
61849	1.6900012269616127e-05	127, 487
61849	1.1709998943842947e-05	127, 487
62357	1.3299984857439995e-05	127, 491
62357	1.1839998478535563e-05	127, 491
63373	1.309998333454132e-05	127, 499
63373	1.1949996405746788e-05	127, 499
64643	1.819990575313568e-05	127, 509
64643	1.1860000086016953e-05	127, 509
2511198461	0.003270899993367493	24907, 100823
2511198461	0.00256620800064411	24907, 100823
2556117901	0.0033434999641031027	25411, 100591
2556117901	0.0025557490007486194	25411, 100591
2567091563	0.003514499985612929	24671, 104053
2567091563	0.0023829799974919297	24671, 104053
2653656419	0.003101500100456178	26203, 101273
2653656419	0.0027652069984469563	26203, 101273
2682580051	0.0028478000313043594	25841, 103811
2682580051	0.0025329179989057593	25841, 103811
2693354269	0.0034543999936431646	27061, 99529
2693354269	0.002614968005218543	27061, 99529
2695564583	0.003140200045891106	25409, 106087
2695564583	0.0024640100018586963	25409, 106087
2722393901	0.003248899942263961	25741, 105761
2722393901	0.0024885689999791794	25741, 105761
2748625751	0.0031364000169560313	25343, 108457
2748625751	0.002537738997489214	25343, 108457
2790340699	0.002983100013807416	27427, 101737
2790340699	0.0026227080015814863	27427, 101737
2798185763	0.002739100018516183	25819, 108377
2798185763	0.002491549006663263	25819, 108377
2825298121	0.0035847999388352036	27449, 102929
2825298121	0.002647658002388198	27449, 102929
2828827621	0.0034026000648736954	25759, 109819
2828827621	0.00249617899680743	25759, 109819
2838210209	0.0037347000325098634	28027, 101267
2838210209	0.00271301600150764	28027, 101267
2859112297	0.003356599947437644	26407, 108271
2859112297	0.002552058002038393	26407, 108271
2906411489	0.003784000058658421	29531, 98419
2906411489	0.002910194998548832	29531, 98419
2961085739	0.0035333000123500824	26669, 111031
2961085739	0.002559847998782061	26669, 111031
2970352969	0.003449200070463121	26891, 110459
2970352969	0.0026207180053461343	26891, 110459
2980360717	0.0033048000186681747	24659, 120863
2980360717	0.0023728800006210804	24659, 120863
2991187327	0.0033841999247670174	25969, 115183
2991187327	0.0025088390029850416	25969, 115183
3001882393	0.0038566000293940306	29327, 102359
3001882393	0.002844785005436279	29327, 102359
3013495853	0.0037389000644907355	29101, 103553
3013495853	0.002807206998113543	29101, 103553
3016418039	0.0036726000253111124	27271, 110609
3016418039	0.0026464570037205704	27271, 110609
3052361281	0.003757099970243871	29147, 104723
3052361281	0.0029257950009196065	29147, 104723
3109043761	0.003868600004352629	31069, 100069
3109043761	0.002992275003634859	31069, 100069
3144837919	0.00405970006249845	31489, 99871
3144837919	0.003079055000853259	31489, 99871
3160915273	0.0033762999810278416	31247, 101159
3160915273	0.003061544004594907	31247, 101159
3170756791	0.003928099991753697	30689, 103319
3170756791	0.0030291240036603995	30689, 103319
3180307463	0.003256099997088313	25439, 125017
3180307463	0.0024586600047769025	25439, 125017
3188798507	0.0037243999540805817	30223, 105509
3188798507	0.0029148649991839193	30223, 105509
3190907009	0.0031796999974176288	25609, 124601
3190907009	0.002535788997192867	25609, 124601
3193135663	0.004099200014024973	31963, 99901
3193135663	0.0031951730052242056	31963, 99901
3198528493	0.003908300073817372	29567, 108179
3198528493	0.0028460160028771497	29567, 108179
3207655037	0.003271199995651841	27059, 118543
3207655037	0.002796657005092129	27059, 118543
3208267229	0.003952399943955243	29027, 110527
3208267229	0.0028242159969522618	29027, 110527
3210252827	0.0040055999998003244	31699, 101273
3210252827	0.0030446539967670105	31699, 101273
3210517823	0.0035525000421330333	29173, 110051
3210517823	0.003078194997215178	29173, 110051
3210801463	0.003104600007645786	25031, 128273
3210801463	0.0024224389999289997	25031, 128273
3214875809	0.0037829000502824783	29347, 109547
3214875809	0.002819905996148009	29347, 109547
3226636529	0.0036871000193059444	28549, 113021
3226636529	0.0028104259981773794	28549, 113021
3233485741	0.003259100019931793	26489, 122069
3233485741	0.0025461779951001517	26489, 122069
3260506159	0.0029198999982327223	26947, 120997
3260506159	0.002666908003448043	26947, 120997
3264337751	0.0033902000868692994	26591, 122761
3264337751	0.0026245379995089024	26591, 122761
3280246969	0.0033903999719768763	26171, 125339
3280246969	0.002582727996923495	26171, 125339
3283427087	0.003410100005567074	28081, 116927
3283427087	0.0026920470045297407	28081, 116927
3283520293	0.003339699935168028	25117, 130729
3283520293	0.0023974700015969574	25117, 130729
3295382053	0.004266300005838275	32327, 101939
3295382053	0.0032034820033004507	32327, 101939
3300947743	0.003253400092944503	25423, 129841
3300947743	0.0024433700018562376	25423, 129841
3302891093	0.002817199914716184	26417, 125029
3302891093	0.0025233189953723922	26417, 125029
3315538909	0.0040068000089377165	30427, 108967
3315538909	0.002931284994701855	30427, 108967
3321296933	0.0031359000131487846	25867, 128399
3321296933	0.00249190899921814	25867, 128399
3326297269	0.0035255999537184834	27449, 121181
3326297269	0.0026563779974821955	27449, 121181
3329453359	0.003913399996235967	29501, 112859
3329453359	0.002847955998731777	29501, 112859
3331142849	0.004254600033164024	31873, 104513
3331142849	0.00313324300077511	31873, 104513
3331464623	0.003590599982999265	28751, 115873
3331464623	0.0028199259977554902	28751, 115873
3343356287	0.0039255000883713365	29873, 111919
3343356287	0.003152713004965335	29873, 111919
